Neuron
PVWR
AVEL
AVFL
PVDL
CEPDR
CEPVR
BDUL
SIAVL
AVJL
LUAL
RMDDR
ASKL
AIBL
ADAL
RMDDL
AVL
OLQVR
FLPL
IL2R
RIVL
ASGR
PHCL
SDQR
ASER
OLLR
RMHR
RIR
AVDL
ASKR
RICR
AQR
AINR
PHAL
SMBDL
SABVL
DVA
RIH
AVDR
AVBR
RMED
RIBL
SAADL
RIGL
ASEL
URYDL
IL2VR
AVG
ALA
URBR
BDUR
SABVR
RIBR
IL1DL
PVT
RMHL
URXL
AWAL
RICL
ASHL
AFDR
AIML
RIS
ALML
FLPR
AVHL
PHBL
ADFR
ASJR
SMDDR
AIZL
AVKR
RIFL
AIYR
RMDVR
LUAR
AVFR
RIMR
DVB
SABD
AIZR
RIFR
SIBVR
PVCR
URADR
PVNR
IL1R
RMER
ADLR
IL2L
RIAR
RIPR
RMFR
SDQL
RMDVL
ADER
PVPL
PVQR
URADL
SMDVL
AVKL
ADAR
SMBVL
PLNL
IL1DR
CEPDL
SIBDR
RMDR
PVNL
IL2VL
AVAR
AWCR
PLMR
RMEV
AWBL
AFDL
SAADR
IL1VR
AUAR
SMBVR
ADFL
RMDL
PHCR
PDER
RMEL
ADEL
BAGL
AIYL
PLML
ASIR
ASIL
AVER
OLQVL
AVJR
ASGL
AWAR
ASHR
AIBR
PDB
AIAL
PVCL
AUAL
DVC
PVPR
HSNL
PDA
PVQL
AVBL
RIVR
HSNR
SIBVL
PVWL
ALNR
ASJL
URBL
SIAVR
SMBDR
ALNL
RIPL
SAAVL
URAVL
RID
URYVL
IL1VL
OLQDR
PVM
URYDR
RIAL
RIML
AIAR
AINL
PHBR
PVR
OLQDL
URYVR
SIADR
PDEL
RIGR
RMGL
RMGR
OLLL
AVAL
SMDDL
ALMR
CEPVL
AIMR
SIADL
SMDVR
BAGR
SAAVR
AWBR
AVM
ADLL
URAVR
RMFL
IL1L
AVHR
AWCL
PHAR
PQR
URXR
SIBDL
IL2DR
IL2DL
PVDR
PLNR
